,Location,Tom,Jerry,TL,TT,TW,TH,JL,JT,JW,JH
0,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test0.jpg,1,0,680,200,187,114,0,0,0,0
1,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test1.jpg,1,0,453,302,145,165,0,0,0,0
2,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test10.jpg,1,0,561,363,193,230,0,0,0,0
3,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test100.jpg,0,1,0,0,0,0,575,400,64,51
4,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test101.jpg,0,1,0,0,0,0,607,54,54,42
5,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test102.jpg,0,0,0,0,0,0,0,0,0,0
6,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test103.jpg,0,1,0,0,0,0,612,357,59,59
7,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test104.jpg,0,1,0,0,0,0,611,369,66,62
8,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test105.jpg,0,1,0,0,0,0,581,402,53,52
9,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test106.jpg,1,0,547,199,177,123,0,0,0,0
10,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test107.jpg,0,1,0,0,0,0,479,419,50,50
11,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test108.jpg,0,1,0,0,0,0,476,253,60,80
12,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test109.jpg,0,1,0,0,0,0,481,469,86,58
13,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test11.jpg,1,0,561,363,192,231,0,0,0,0
14,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test110.jpg,0,1,0,0,0,0,489,402,74,48
15,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test111.jpg,0,1,0,0,0,0,489,395,61,60
16,C:\Users\Saurav Akolia\Desktop\u\hackerearth\EmotionDetection\Dataset\Test\test112.jpg,0,1,0,0,0,0,475,213,117,117
